TemP (K),Time (min),PS (mm),BET (m2/g),PV (cm3),C (wt.%),H  (wt.%),N  (wt.%),O  (wt.%),Qm (mg/g),TP_Benzocaine,TP_Ciprofloxacin,TP_Citalopram,TP_Diclofenac ,TP_Dimetridazole,TP_Floxentine,TP_Metronidazole,TP_Nitroimidazole,TP_Norfloxacin,TP_Oxytetracycline,TP_Oxytetracycline ,TP_Salicylic acid,TP_Sulfadiazine,TP_Sulfamethoxazole,TP_Tetracycline,TP_Triclosan,TP_ibuprofen,TP_sulfamethazine 
398.4241,274.15903,13.640057,-107.74197,-0.01572759,55.740135,3.4864256,4.625905,5.6573176,-17.985619,0.069692954,0.014897112,0.33839133,0.26794496,0.022517134,-0.035027236,0.0076311054,0.0038275325,0.3043969,0.023454173,0.0063734297,-0.011818293,0.034904554,0.4,-0.1774929,0.26793575,-0.2057189,0.4
726.9479,24.411812,-0.19988847,469.6731,-0.029279154,37.500317,0.33024934,-0.5926652,5.658733,-17.85167,0.0151508935,0.02154054,0.33839133,0.16946708,0.026336407,0.039268844,-0.007633143,0.0073157204,0.30456147,0.028258199,-0.011525762,0.024041964,-0.001996984,-0.19966015,0.70237654,-0.16794495,0.4298991,-0.20000002
398.4241,274.15552,13.639781,-32.05798,-0.029379185,69.365715,3.4864256,4.5411844,25.98647,76.333496,-0.006710197,0.011856004,0.3369608,0.1476453,0.027478674,0.08055541,-0.022511039,0.0032479174,0.08927998,-0.003415189,0.038760494,0.0033181559,0.04027978,0.39980105,-0.1774929,-0.1419418,-0.2057189,0.4
398.4241,274.15823,13.640057,-111.155266,-0.029379528,78.72138,3.4864256,4.626502,6.1179185,-17.990242,-0.04807871,-0.025887046,-0.18836217,-0.16793908,0.063926205,0.069499135,-0.052952852,-0.024355449,-0.17956123,-0.036772557,0.02703526,-0.004594489,0.06393504,-0.20000002,-0.12586503,0.2679431,0.4557189,0.4
610.6019,24.611908,0.33570027,89.95891,-0.029379528,37.48711,0.3455893,-0.5919788,5.671144,-17.990242,0.015891181,0.0055364976,0.33839133,-0.16789947,0.015222445,-0.013821028,-0.022956982,-0.026416771,0.3018645,-0.02381619,-0.00087789836,-0.030480351,0.001279244,-0.20000002,0.70249176,-0.16790776,0.4557189,0.3953465
726.9508,24.277039,-0.20063186,479.19397,0.33102033,78.721855,0.33103016,-0.5926626,25.985586,93.50783,0.040706363,0.017911114,-0.18839087,0.2611429,-0.023491245,0.16988888,0.0507944,0.0036711625,0.3044786,0.052750334,-0.0011815375,0.052232686,-0.011184008,0.25972053,0.700941,-0.16680379,0.4555423,-0.19999829
398.4245,274.08203,13.584681,-44.588436,-0.029379528,43.58753,0.3302528,-0.5926652,5.846812,-17.990242,-0.010192738,0.026504837,0.33839133,-0.16794495,0.071073554,0.058914382,-0.04211214,-0.06013986,0.3044485,-0.05753435,-0.011537938,-0.045070954,0.026261145,-0.20000002,0.4157545,0.04368083,0.4557189,0.39948538
711.8782,24.237648,13.640035,-98.42269,-0.029375594,37.486267,3.4863772,4.62829,5.7207894,-4.897785,0.041035086,0.016385667,0.3098672,-0.16780455,-0.06437376,-0.050834127,0.009207404,-0.01005529,-0.17956147,-0.036132816,0.020735884,-0.024588764,-0.022902187,-0.19999936,0.7024929,0.24770516,0.4557189,0.37482765
399.50558,273.94427,13.640057,-109.82485,-0.029379528,37.486267,3.4367957,4.22706,5.657496,-17.951195,-0.009103688,-0.015466214,0.33802053,-0.16769174,0.036355667,-0.05991696,-0.054092538,0.0031753161,0.27468407,-0.017556686,0.0072975485,-0.017314084,0.019005798,-0.19976008,0.7024929,-0.07341202,-0.20571774,0.39997768
726.9509,24.448792,-0.20063186,478.8512,0.33102676,78.721855,3.4859424,3.178061,25.984482,94.66462,-0.02716478,0.037081126,-0.18839134,0.26166758,-0.067765675,0.1293517,0.051112752,0.054661185,-0.17584558,0.03822213,-0.0022042526,0.07713829,-0.017269967,0.4,0.7024929,0.18702464,-0.2057189,-0.20000002
726.9509,274.1208,-0.20063186,478.22186,0.33087146,45.281986,0.33024934,-0.5926652,7.1498227,90.56943,-0.030748252,0.039843112,0.3383312,0.26121646,-0.00018589404,0.070573494,-0.009815837,-0.013777875,0.30455762,0.013755508,-0.0051812427,-0.025529973,0.034795735,-0.1907438,0.14351459,-0.081508204,0.44877243,-0.20000002
704.89844,274.15506,-0.20063186,477.56934,0.3309921,78.721855,3.486424,-0.5923853,25.98647,90.52494,0.0041399803,0.025497133,-0.18839134,0.25960025,-0.005361435,0.16904333,0.026148006,0.0128242485,0.3044464,0.011063716,0.043951716,0.026030578,0.0148308845,0.4,-0.1774929,0.17952046,-0.20570904,0.4
677.24976,24.246658,13.620215,31.606848,0.021615539,37.48631,3.452125,4.626522,5.8522534,94.659744,0.009892148,0.008759978,-0.046253283,0.26654682,-0.04425496,-0.00073480606,-0.005945706,0.019178538,0.1088137,0.012237069,-0.027134188,0.034071315,-0.024875592,0.3999996,0.70249,-0.16617161,-0.2057189,-0.17349505
398.4241,27.116241,13.63848,88.969215,-0.029379528,78.70763,3.4864256,3.6575112,25.981918,-17.990143,0.054054584,0.030013224,0.3362405,0.2554734,-0.0053065,0.026766997,0.0015502085,-0.0017053543,-0.11047752,0.012081494,0.01849563,0.010781623,0.0031628672,0.39999935,-0.1774929,-0.16776057,-0.20570841,0.4
398.4284,164.9275,0.48442054,206.79102,-0.029379424,78.70886,0.3304731,-0.5926509,25.154308,-17.990242,0.049923085,0.020335533,0.33839133,-0.16790207,0.06165583,0.13601507,-0.028625328,-0.050086636,0.30456147,-0.021600023,-0.0066675274,-0.03589801,0.01613221,-0.20000002,-0.1774929,-0.058939133,0.4557189,0.39976525
540.5925,25.039207,13.640057,-83.91909,-0.029328968,37.48676,0.33027735,-0.5177748,5.65741,-17.990242,0.015952308,-0.009124237,0.33839133,-0.16794221,0.08741278,-0.027541533,-0.032406464,-0.0091124,0.30456147,-0.015480506,-0.050485294,0.010915082,0.0055993167,-0.20000002,0.70189524,-0.16769715,0.4557189,-0.19998965
726.9509,260.35886,-0.20063186,478.5258,0.33102614,78.721855,0.33216992,-0.5926633,5.6586814,94.08844,-0.006914147,-0.007200307,-0.18785067,0.26351786,0.016324585,0.118430644,0.011579226,0.048174195,0.30456147,0.041970883,0.01538637,0.03906525,-0.009416637,0.4,0.6943585,-0.1678964,-0.2057189,-0.20000002
726.9509,28.176132,7.9405165,18.757208,0.30491084,37.486267,0.33024934,3.9942453,5.6573052,84.29849,0.004144339,-0.022840746,0.3382435,0.03719046,-0.012560622,-0.07472874,-0.020217486,0.0025359949,-0.12910298,-0.0246578,0.046976645,-0.037499715,0.0056415014,-0.1987637,0.7024929,0.2668113,0.23583472,-0.20000002
726.9509,24.261337,10.919468,-3.7556248,0.3286767,37.486267,0.33024934,-0.20678614,5.6573052,-17.980251,-0.03072396,-0.02886736,0.33839124,0.08243579,0.03636713,-0.10195379,-0.028927945,0.014202063,0.30420846,-0.038828697,0.009627655,-0.035793565,0.0047632502,-0.20000002,0.7024929,0.25944263,0.4557189,-0.20000002
726.9509,196.98537,-0.1890409,382.7416,0.33099446,37.486317,0.3399414,4.3196855,5.6575046,94.66462,0.0017144678,0.021511627,-0.18215062,0.26747367,-0.05201679,0.06426049,0.020019231,0.034536663,0.30079216,0.058285207,0.012527027,0.04931782,-0.021515582,0.4,0.7024929,-0.15204799,-0.2057189,-0.19999975
671.77545,274.15903,-0.20014262,461.93332,0.31764117,78.721855,3.467102,-0.5900812,25.986406,94.335785,0.017142473,0.045975003,0.30440477,0.26551497,0.014634365,0.15571064,0.0200848,0.011193784,0.30456084,-0.010470442,0.03346649,0.007322214,0.01526376,0.4,-0.1774929,-0.04259633,-0.2057189,0.3999984
726.9509,24.23777,-0.20063186,478.9377,0.012149562,78.663155,0.33024934,-0.5926652,13.870006,-17.913921,0.07256455,0.040060047,0.33832115,-0.15181904,0.029977294,0.022104431,0.031194901,-0.008856113,0.30456147,0.02416117,-0.034829825,0.024828842,-0.016708666,-0.19993964,0.7024826,-0.16794418,0.4557189,-0.20000002
726.9508,24.237648,-0.19775033,440.95316,0.3290814,37.71437,0.3930011,4.561752,13.531136,94.66299,0.046312578,0.00027571508,-0.15058395,0.26125744,-0.059872907,0.08711583,0.059039738,0.029651053,-0.1659778,-0.0011790975,0.0030414404,0.035489433,-0.048127558,0.39692563,0.7024927,-0.16697155,0.45570925,-0.19999993
398.4241,24.239807,13.640057,-107.37417,-0.029379528,37.486267,3.4864182,4.628114,25.670944,-17.990005,-0.014146903,0.0014302179,0.33839017,-0.16793983,0.009236066,-0.09295671,-0.021715246,-0.012271752,-0.17955355,-0.04453049,-0.014492036,-0.013664289,0.010992042,-0.20000002,0.7024926,-0.16380778,0.4557189,0.4
398.64514,24.237648,-0.20032191,219.35246,-0.029379528,37.486267,0.35218146,4.6233063,25.98647,94.65342,0.01216422,0.018445427,0.3383831,-0.16789038,-0.08938116,0.098091945,0.07525269,-0.04915521,-0.17956147,-0.04428187,0.0019614024,-0.016120138,-0.033554625,-0.20000002,0.7024929,-0.16773771,0.4557189,0.4
465.53607,136.6649,-0.20063186,478.57007,0.10263244,78.721855,0.3303,-0.5926652,25.98548,-17.990242,0.06237449,0.03513451,0.33839133,-0.14035055,0.058244955,0.12081227,0.022597082,-0.029300839,0.30456147,0.011967722,-0.009066599,-0.020103123,0.020778676,-0.19998911,-0.1774929,-0.12065302,0.4557189,-0.16593134
726.9509,33.05223,-0.19261575,465.17715,0.33102676,78.721855,3.486349,4.6247315,25.56533,94.66462,-0.033358667,0.0056171278,-0.18839134,0.2510922,-0.042346,0.01037677,0.021687774,0.025916426,-0.17931606,0.029716384,0.0026393372,0.054403894,0.005124929,0.4,0.7024929,0.26784104,-0.20570743,-0.19397962
398.42572,194.33636,8.073279,435.02454,0.33093584,78.721855,3.4864256,4.5334625,25.98647,79.32106,-0.00989028,0.023183828,-0.18839125,0.24315767,-0.0078875935,0.07274003,0.009011649,0.010159011,-0.17821738,0.019197088,-0.015430567,0.024714477,0.03352452,0.399805,-0.1774927,0.26745424,0.45565066,0.4
398.4241,24.401901,13.639797,-93.26794,-0.029379528,37.63264,3.4848824,0.40042567,25.98647,-17.990242,-0.016804665,6.5969114e-05,0.3383912,-0.16793087,0.019742962,0.013563599,-0.033586882,-0.03408295,-0.15424448,-0.0322912,-0.022512496,0.0021084405,0.022277007,-0.20000002,0.41549152,-0.16745554,0.4557189,0.4
726.9509,193.52281,-0.20059848,409.715,0.30306017,78.721855,3.4289622,-0.57900405,5.6649384,-17.933846,-0.01153672,0.00051651505,-0.18838795,-0.15067197,-0.011505415,-0.01969152,-0.018358957,0.0146150505,-0.13197291,0.015993211,0.041564804,-0.015582279,0.013562123,0.39916307,0.7024923,0.2632044,0.18381529,-0.1999993
400.84625,71.01776,13.639051,-97.11968,-0.029379528,37.486267,0.33025017,-0.57944894,5.6573052,-17.990242,-0.01614997,-0.015340452,0.33839133,-0.16784155,0.04032244,-0.029970258,-0.032196373,-0.017895808,0.29381165,-0.026657902,-0.0025507568,-0.038976192,0.012862444,-0.20000002,0.7024929,-0.1439789,0.4557189,-0.18775019
726.9509,27.763878,13.274054,277.14066,0.32964835,37.486267,0.33024934,3.8568149,5.6580186,94.66383,0.011766745,0.012581453,0.33839104,-0.15458193,0.008487569,-0.0054613277,0.0006408317,-0.030636813,0.30456147,-0.031259615,-0.034158327,0.013227378,-0.008518158,-0.19999987,0.7024929,-0.11623186,0.454871,-0.20000002
718.6393,24.237648,13.640057,-110.998405,-0.029379439,37.486267,0.330277,4.628289,5.6573052,-17.990242,-0.005395853,-0.034344602,0.3383912,-0.16794495,-0.015641056,-0.054669365,-0.0004719805,-0.0016534191,-0.17956147,-0.074297644,0.05093411,-0.044073712,-0.015344032,-0.20000002,0.7024929,0.2662959,0.4557189,-0.19999984
398.49084,24.237648,12.032828,1.2154903,0.29772055,37.486267,0.34369567,4.62829,25.986435,94.66462,-0.035185605,0.035993885,0.33802584,0.26793262,-0.08916678,0.072501376,0.04702548,-0.014913247,-0.17956147,-0.019135922,-0.043232415,0.017891921,-0.03114821,0.3982143,0.70249206,0.23348221,-0.2056072,0.39986452
398.4241,24.954025,13.155815,198.517,0.31172493,37.486534,0.33058062,3.3833623,5.689881,-12.631832,0.007901204,0.0022148031,0.33781138,0.26794216,-0.022683948,-0.030899666,-0.007270585,-0.002481609,-0.11861265,0.017047493,-0.033645015,0.014048586,0.02157802,-0.0912574,-0.1774929,0.26643187,0.45571876,-0.19876325
398.4241,274.15024,13.640057,-111.07537,-0.029379528,37.486404,3.4864256,4.62829,5.66874,-17.97982,0.08855107,-0.0026600587,0.33839133,0.26794475,0.02158345,-0.11973968,-0.020262714,-0.0064578624,0.2751531,-0.001066346,0.031506646,0.00495206,0.020008719,0.4,-0.1774929,0.17707169,-0.2057189,0.4
398.46155,24.239723,12.7233515,71.2365,-0.029379528,37.486267,0.35210732,-0.2860055,25.78781,-16.489044,0.028467877,0.020784387,0.33839133,-0.15848579,-0.0025391283,-0.055168062,-0.021219183,-0.01911223,0.22558194,-0.01946643,-0.022928156,0.0051935227,-0.0035035976,-0.20000002,0.7024929,-0.16794136,0.45569897,0.39997515
398.71643,24.260529,-0.16561341,309.9043,-0.029379528,52.600048,3.441708,-0.53788376,25.986227,-17.984947,0.05282133,0.027176348,0.33839124,-0.15701707,-0.004300398,0.05176387,0.018226296,-0.034632158,-0.011212394,-0.005063248,-0.02013104,0.00089526904,-0.0065546082,-0.18890384,-0.17636262,-0.16739911,0.4557188,0.39999986
639.36176,24.237709,-0.20047021,475.9457,0.19160734,78.721855,3.4864256,-0.5418389,25.98647,-13.631298,0.044516634,0.0014451283,-0.18838973,-0.08538726,-0.0010716666,0.10678626,0.050622385,0.01366138,0.30385762,0.030529996,-0.0062296083,0.05312478,-0.018572554,0.39801988,-0.105057016,-0.16785575,0.4557189,0.39381766
398.45868,274.15845,13.638006,-45.8809,-0.029379528,77.92207,3.4864256,-0.5900929,25.978228,-17.923134,-0.0308998,0.012878838,-0.12974343,-0.16758293,0.04525452,0.035889603,-0.04989113,0.0052449564,0.30445117,-0.0015720094,0.020385487,-0.003364158,0.022333642,0.21084511,0.7024925,-0.16791885,-0.2057189,0.4
726.4846,266.1255,10.112802,132.20209,0.2852321,78.72184,3.4864252,4.3315063,5.6660285,86.5464,0.020095203,-0.02371762,-0.18839063,0.039817438,-0.0005517855,0.011145551,-0.020964503,0.042972,0.29474485,0.030164532,0.028641857,0.013874591,0.008062628,0.39999855,0.7020131,0.19280459,-0.2057189,0.39678803
398.47748,24.566483,13.584444,26.94982,-0.029377978,37.486267,0.3310931,3.441547,6.028894,-14.57795,0.052476425,0.02277759,0.33839133,0.184751,-0.004849923,-0.048161812,-0.024118815,-0.03231891,0.29799485,-0.009177276,-0.012363843,-0.025204983,0.0089027,-0.19453502,-0.1774923,-0.08642857,0.4557177,0.39945978
713.8294,24.307564,11.468411,154.01001,-0.028200354,51.645813,0.33042935,-0.55998445,5.6573052,-17.990242,0.06215956,0.002725546,0.33839133,-0.10697226,0.0457134,-0.05288873,-0.018347358,0.018100066,0.3045612,0.004015181,0.0012799806,-0.031166058,0.007967553,-0.19998321,-0.1774878,0.029994981,0.4557189,-0.19999957
408.47336,24.237648,-0.16062665,428.22336,0.27247712,37.568607,0.3325589,2.3324437,17.415155,20.792599,0.007769891,-0.019285593,-0.17623,0.2666611,-0.03755307,-0.051597066,0.025070338,0.0029310088,-0.16874735,0.02078831,-0.008372222,0.045623645,-0.016161542,-0.19999531,0.7024787,-0.1653374,0.4557189,-0.19999993
726.9509,24.237648,-0.20063186,478.7739,0.32474333,78.70349,0.33025053,-0.5911145,25.98647,94.60379,0.04388648,0.041932784,-0.18838711,-0.16793819,-0.053591277,0.082687914,0.056356285,-0.043640237,-0.1795613,0.017485643,0.010229683,0.011050907,-0.010749343,-0.20000002,0.7024929,0.15298724,0.4557189,-0.1999827
726.9509,24.237686,-0.20053649,472.0345,0.3310262,37.924953,0.33024934,-0.5847595,5.675081,94.398056,-0.008052873,-0.005203803,0.28243592,-0.15804698,0.012751202,0.02266299,0.0077771754,-0.004078348,0.30456147,-0.01348248,-0.03572652,0.027747918,-0.011351033,-0.20000002,0.7024929,-0.1639003,0.4557189,-0.20000002
398.4241,274.0963,13.640057,-26.861048,-0.029076215,78.721855,3.4864256,4.6257186,25.986467,-17.898533,0.028309276,0.009714629,0.14586039,0.26794496,0.01060201,0.01925436,0.030799428,0.020232473,0.2761652,0.042384155,0.015604552,0.058953855,0.040314488,0.4,-0.1774929,-0.14842463,-0.2057189,0.4
718.0171,274.15903,13.639874,-76.666435,-0.029330712,78.70813,3.482839,-0.59237266,5.6573052,-17.990223,0.025310393,-0.031029355,0.3380439,0.20654565,0.06703476,-0.0961981,-0.06293495,0.029801222,0.30456147,0.043048985,0.06138935,-0.02574179,0.026294246,0.39999968,-0.17578651,-0.15543957,-0.2057189,-0.109339796
617.9868,274.15903,13.640057,-108.45904,-0.029379528,37.486267,0.38456193,3.1104765,5.6573052,-17.403137,-0.0044712247,0.007514808,0.33839133,-0.14913173,0.041929543,-0.08657989,-0.04775833,-0.0152312545,0.30441192,0.00017419066,-0.0014223654,-0.03804087,0.023768261,-0.19197398,0.70246,0.1340597,-0.2057189,0.3999931
398.4248,24.256462,13.45659,-15.47883,-0.029374477,37.535843,3.4863389,4.6215487,7.4669986,-17.953552,0.02957324,-0.0017348381,0.3264094,0.05456608,-0.038732894,0.06391475,0.019545855,-0.008706289,-0.17956132,-0.0073505407,0.012741383,0.011879845,-0.0114719635,-0.19574183,0.6855231,0.24254945,0.4557062,0.39998552
726.9509,258.4236,-0.20052171,469.03735,0.3310267,78.71794,0.3334749,-0.54267573,25.358124,94.664314,-0.03761822,0.027018575,-0.18839134,-0.115195885,-0.011328864,0.14254235,0.022869375,-0.007528548,0.2942577,-0.010340656,-0.01549681,0.024928106,-0.005390198,0.39886945,0.7024929,0.2206513,-0.18259233,-0.20000002
726.9509,260.25433,-0.19419885,388.8717,-0.029371347,38.148636,2.5875003,-0.5887921,5.6646104,67.926346,0.038667593,0.03830603,-0.17952429,0.12269541,-0.017601935,0.030719005,-0.0076498827,0.033926804,0.26766306,0.04259488,0.033090193,-0.0045462223,0.00016063153,0.39993936,0.7024929,-0.1678662,-0.2057189,0.39554715
398.42432,25.617966,13.638463,317.9396,-0.02937251,78.721855,3.4847379,-0.59264827,5.6751475,-17.990242,0.03173985,-0.0008505203,0.33836877,-0.16777316,0.089712426,0.0062926933,-0.010577836,-0.0069349995,0.30456147,-0.017102968,-0.025682788,0.020920023,0.0066538714,-0.19996864,-0.1774929,-0.16792677,0.4557189,-0.19981074
726.9509,24.237648,-0.19922853,346.78625,-0.029335748,37.486267,0.33024934,-0.547735,5.6573052,83.99912,0.060821358,-0.0023572391,0.338387,-0.16752964,-0.022902958,-0.0016191751,0.033432815,-0.00087058,0.28094447,0.0003607644,0.042475577,-0.012122917,-0.031229984,-0.1997546,0.7024929,-0.16791493,0.03502723,-0.20000002
726.2112,254.94048,13.639454,-99.01534,-0.029346582,37.486267,0.33046618,0.38201034,5.6573052,-17.989845,-0.0013269496,-0.0073094303,0.3383911,-0.16746461,0.02979581,-0.06286201,-0.03516702,-0.0062753605,0.3008048,-0.031869583,0.022631636,-0.033580814,0.0025761889,-0.19999996,0.7024929,0.24433468,0.45565766,-0.19999808
398.42426,24.237648,13.640049,-90.46313,-0.028012212,37.486267,0.38600317,4.6282544,5.6628594,7.317873,-0.00070981047,-0.02849206,0.338391,0.267185,-0.04690297,-0.088277474,0.0015337595,-0.01296424,-0.17929864,-0.020626262,-0.036599856,0.0016319302,-0.016842978,-0.099473365,-0.17168362,0.09820925,0.4557189,-0.1972444
398.42645,269.20197,13.63965,-10.1869755,0.33102554,57.974144,3.4862778,4.628287,5.6573052,93.6507,0.079748504,-0.0062027434,0.3369553,0.26794496,-0.044885524,-0.08674319,0.023287954,0.036699876,-0.13165255,0.044164237,0.017577333,-0.0053595016,0.011811435,0.4,-0.1774929,0.26794484,-0.2057189,-0.19611952
398.4241,37.39804,13.636978,-78.11614,-0.029379528,37.486362,3.486382,4.6247354,25.986464,84.14422,-0.017698385,0.01954828,0.32911888,-0.16659187,-0.03811496,0.08340803,-0.014498296,-0.023780912,-0.17954405,-0.023271386,0.010156071,-0.0033791114,-0.004899972,-0.20000002,0.7024929,-0.029936377,0.42811388,0.4
398.4241,29.158844,13.640054,-110.24493,-0.029379528,37.486267,3.1728644,4.627373,25.955967,-16.279633,0.0008602504,0.035776343,0.33839133,-0.16034444,-0.04747102,0.04000166,-0.0068213465,-0.04981832,-0.17956147,-0.058254886,-0.02995643,-0.048438467,-0.010401213,-0.20000002,0.30282965,-0.03875519,0.45569503,0.4
726.9509,24.238464,-0.20062613,418.03937,-0.029379528,37.486275,0.3303118,-0.5886297,25.985899,80.68824,0.052049045,0.050180998,0.33838278,-0.16794495,-0.04785352,-0.02817545,-0.007964565,-0.033464286,-0.17240378,-0.022708308,0.029447285,-0.040710527,-0.0010637736,-0.20000002,0.7024929,-0.16784772,0.4557189,0.39908218
726.9509,24.356903,-0.095466845,277.96802,0.0316975,37.88916,0.8123522,4.1525316,25.978659,94.63183,0.0064517474,0.019287836,-0.18839116,-0.16792683,-0.045210194,0.10067776,0.016305815,-0.03209452,-0.17955658,-0.010321901,0.013220344,0.016488586,-0.0016981245,-0.20000002,0.7024929,0.2616079,0.45571676,0.3897614
726.9502,24.237648,13.635679,-91.33965,-0.029379528,37.486267,0.3315989,2.605968,5.657375,-17.990067,0.026659071,0.0010287648,0.17441595,-0.16794485,-0.046276867,0.045167003,0.045005728,-0.015224605,-0.17956096,-0.038228985,0.018982448,-0.025494605,-0.026055317,-0.20000002,0.7024929,-0.16494209,0.4557189,-0.1997039
726.9509,24.273537,0.13731122,295.1833,-0.02937759,39.182594,0.33109596,-0.5843172,5.662376,-17.981037,0.056357104,-0.0031604294,-0.18125267,-0.16794147,0.0075421627,-0.018119194,-0.009250599,-0.013826524,0.26065254,0.0030892238,0.023783825,-0.0073486483,0.0047792755,-0.20000002,0.7024929,-0.16311099,0.4557189,-0.1834695
401.1972,274.15903,4.9556637,397.98138,-0.029293489,78.721855,2.0330625,-0.59266424,5.6573052,-17.990242,0.06379966,0.006152868,0.33839104,0.21726479,0.08941024,0.0043759085,-0.025229227,0.023557322,0.30456147,0.04985234,0.021364572,-0.013503739,0.036659382,0.3937417,-0.1774929,-0.16737247,-0.2057189,0.36730155
398.47717,267.85748,13.640057,-110.000114,0.22640549,37.486267,3.4864244,4.62829,5.659351,94.6621,-0.036377735,0.008400426,-0.18839084,0.26374817,-0.06195746,-0.008353546,0.0109895645,0.019200414,-0.17956147,-0.010268024,-0.0027412933,0.023981819,-0.009119553,0.39999843,0.7024929,0.26794297,-0.2057189,0.39998603
726.9509,24.243591,0.57606816,274.85614,0.33080497,37.486267,3.484734,4.62829,25.986427,94.66462,-0.030077126,0.052041423,-0.18464829,0.26791596,-0.092309035,0.16236952,0.04005537,0.03293824,-0.17956147,0.027586695,0.005082465,0.057283886,-0.030704368,0.4,0.7024929,-0.04551507,-0.2057189,0.3999962
401.2359,24.24012,13.639895,-65.29749,-0.027017456,37.486298,0.3441501,3.5997217,5.6899858,-16.524681,-0.03466198,-0.014214781,-0.18836562,-0.16359234,-0.023330554,0.049722098,-0.0042815423,-0.012303448,-0.17696959,-0.0228379,-0.00039404928,0.02135183,0.0022377658,-0.20000002,0.7024929,-0.087863415,0.4557189,-0.19646934
